# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.376663781392e-10       4.183222426626e-15       3.549949197576e-13       0.000000000000e+00       8.345289829323e-09       4.497166294585e-10      -1.850501387138e-12 
    3       1.303523080923e-10       5.374331695189e-15       3.984922675186e-13       0.000000000000e+00       5.106657457706e-09       3.180263735835e-10      -1.403678628024e-12 
    4       1.234310022154e-10       4.662709482960e-15       3.726333504481e-13       0.000000000000e+00       3.532851447479e-09       2.403587146708e-10      -9.213777736629e-13 
    5       1.182468803043e-10       3.120294991499e-15       3.174017537949e-13       0.000000000000e+00       2.627030687638e-09       1.895765758465e-10      -5.146000331456e-13 
    6       1.146964792505e-10       1.748423373844e-15       2.556593126649e-13       0.000000000000e+00       2.045851581202e-09       1.540409420140e-10      -2.141439591863e-13 
    7       1.123926604471e-10       9.433714482010e-16       2.007050462774e-13       0.000000000000e+00       1.646264103703e-09       1.279891498486e-10      -2.176608188634e-14 
    8       1.110580152219e-10       6.054330231007e-16       1.583867505678e-13       0.000000000000e+00       1.357509132866e-09       1.082588970190e-10       7.715836727878e-14 
    9       1.104469452005e-10       4.844853077036e-16       1.299984212490e-13       0.000000000000e+00       1.140853662977e-09       9.296985565544e-11       1.057023647195e-13 
   10       1.103363306262e-10       4.130785493087e-16       1.142436078979e-13       0.000000000000e+00       9.734638853567e-10       8.087265457053e-11       8.956932540871e-14 
   11       1.106645177548e-10       3.473286568282e-16       1.084679414139e-13       0.000000000000e+00       8.329244877249e-10       7.184474746259e-11       5.282343661760e-14 
   12       1.112869612977e-10       3.022241441909e-16       1.096043012879e-13       0.000000000000e+00       7.276563066697e-10       6.352809618555e-11       1.312073203366e-14 
   13       1.121521593093e-10       2.892639365282e-16       1.149331369896e-13       0.000000000000e+00       6.412491550814e-10       5.677988918662e-11      -1.742599557867e-14 
   14       1.132079589663e-10       3.008909792484e-16       1.224004864679e-13       0.000000000000e+00       5.693689063992e-10       5.088893843631e-11      -3.439859417452e-14 
   15       1.144462895465e-10       3.252446490768e-16       1.306780427494e-13       0.000000000000e+00       5.088769189143e-10       4.594109459411e-11      -3.779895905603e-14 
   16       1.157976476190e-10       3.595679768777e-16       1.391073279019e-13       0.000000000000e+00       4.574513612025e-10       4.168230400850e-11      -3.145433304967e-14 
   17       1.172811268829e-10       4.092018481784e-16       1.475349574895e-13       0.000000000000e+00       4.133423358548e-10       3.796879010032e-11      -2.051136374975e-14 
   18       1.188376630407e-10       4.796823406251e-16       1.561023932256e-13       0.000000000000e+00       3.750670798769e-10       3.472446747752e-11      -9.904828414923e-15 
   19       1.204789593831e-10       5.715435284568e-16       1.650173795606e-13       0.000000000000e+00       3.420049211549e-10       3.190615253039e-11      -2.303965161239e-15 
   20       1.221955645583e-10       6.829794248057e-16       1.744662943092e-13       0.000000000000e+00       3.128923502943e-10       2.940960715311e-11       4.998017909800e-16 
   21       1.239901352408e-10       8.132320482437e-16       1.844382091578e-13       0.000000000000e+00       2.872694842387e-10       2.718890830499e-11      -9.835523233278e-16 
   22       1.258388496796e-10       9.616076687810e-16       1.947753074458e-13       0.000000000000e+00       2.645176231860e-10       2.518390934424e-11      -5.056299835958e-15 
   23       1.277468148773e-10       1.128391367533e-15       2.051322176550e-13       0.000000000000e+00       2.443309002774e-10       2.338357340743e-11      -9.995288230262e-15 
   24       1.297060820119e-10       1.313993829558e-15       2.150593703627e-13       0.000000000000e+00       2.262470950174e-10       2.176987737569e-11      -1.394457646844e-14 
   25       1.317122268184e-10       1.518553253860e-15       2.242571639177e-13       0.000000000000e+00       2.100199812222e-10       2.032344302530e-11      -1.603908440443e-14 
   26       1.337492093472e-10       1.742275374752e-15       2.324820195210e-13       0.000000000000e+00       1.953310765828e-10       1.901158855432e-11      -1.587511680860e-14 
   27       1.358266606126e-10       1.986746755039e-15       2.396566871437e-13       0.000000000000e+00       1.821036628923e-10       1.782478419849e-11      -1.393245977556e-14 
   28       1.379466546813e-10       2.254216294470e-15       2.457759227380e-13       0.000000000000e+00       1.701768547038e-10       1.674583158213e-11      -1.119373448826e-14 
   29       1.400976571680e-10       2.546971734835e-15       2.508667797160e-13       0.000000000000e+00       1.592602984774e-10       1.574677081760e-11      -8.762836878388e-15 
   30       1.422865145406e-10       2.866173025565e-15       2.549861157735e-13       0.000000000000e+00       1.492934294215e-10       1.482702313220e-11      -7.047749920205e-15 
   31       1.445155248463e-10       3.212549918105e-15       2.582270475641e-13       0.000000000000e+00       1.402019255782e-10       1.398813202244e-11      -6.266144398056e-15 
   32       1.467771953122e-10       3.586776973833e-15       2.606735534076e-13       0.000000000000e+00       1.318415304388e-10       1.322468572654e-11      -6.546615269233e-15 
   33       1.490710028754e-10       3.989796175882e-15       2.622290654419e-13       0.000000000000e+00       1.241664665557e-10       1.253004745303e-11      -7.554067521339e-15 
   34       1.513903589515e-10       4.422602547407e-15       2.627228698941e-13       0.000000000000e+00       1.171085252966e-10       1.189130689248e-11      -8.712110581354e-15 
   35       1.537236560040e-10       4.886141796766e-15       2.619782321211e-13       0.000000000000e+00       1.105623722502e-10       1.129210381132e-11      -9.436879671511e-15 
   36       1.560774578982e-10       5.381258719102e-15       2.599026217642e-13       0.000000000000e+00       1.045108772618e-10       1.073028803978e-11      -9.648536022150e-15 
   37       1.584598510340e-10       5.908723488886e-15       2.564271484569e-13       0.000000000000e+00       9.893495509565e-11       1.020557131669e-11      -9.432773374466e-15 
   38       1.608734596153e-10       6.469239057793e-15       2.514825758039e-13       0.000000000000e+00       9.377567917721e-11       9.714458463290e-12      -8.908514645332e-15 
   39       1.633167789607e-10       7.063461864191e-15       2.450145220768e-13       0.000000000000e+00       8.895550421081e-11       9.251965319949e-12      -8.217225375905e-15 
   40       1.657903273589e-10       7.692084403854e-15       2.370354658952e-13       0.000000000000e+00       8.445957727138e-11       8.818222758319e-12      -7.480412131490e-15 
   41       1.682914871612e-10       8.355772591335e-15       2.275903580760e-13       0.000000000000e+00       8.027600079310e-11       8.413611410963e-12      -6.831801651465e-15 
   42       1.708121908650e-10       9.055139645775e-15       2.167439640852e-13       0.000000000000e+00       7.637157332688e-11       8.036781264710e-12      -6.430735582133e-15 
   43       1.733430830312e-10       9.790762304756e-15       2.045535848577e-13       0.000000000000e+00       7.270404967100e-11       7.685325405927e-12      -6.414874952190e-15 
   44       1.758887693757e-10       1.056324257260e-14       1.909744472989e-13       0.000000000000e+00       6.926772919176e-11       7.358415656481e-12      -6.737162022389e-15 
   45       1.784564596057e-10       1.137316019818e-14       1.759266695449e-13       0.000000000000e+00       6.605906539918e-11       7.054730196629e-12      -7.280533489903e-15 
   46       1.810514977433e-10       1.222105343927e-14       1.593203998130e-13       0.000000000000e+00       6.306297939834e-11       6.771599938183e-12      -7.900732970604e-15 
   47       1.836771464852e-10       1.310741729800e-14       1.410551212945e-13       0.000000000000e+00       6.025196102869e-11       6.504907655192e-12      -8.424714211809e-15 
   48       1.863347931347e-10       1.403267224827e-14       1.210381293180e-13       0.000000000000e+00       5.759452793018e-11       6.250277529489e-12      -8.697485984359e-15 
   49       1.890251391995e-10       1.499706411096e-14       9.924774381299e-14       0.000000000000e+00       5.508551977224e-11       6.007275664245e-12      -8.741987559784e-15 
   50       1.917469756334e-10       1.600073292309e-14       7.568672139269e-14       0.000000000000e+00       5.272279925341e-11       5.776220338943e-12      -8.641536712769e-15 
   51       1.944966011889e-10       1.704373679210e-14       5.036491493308e-14       0.000000000000e+00       5.049822871394e-11       5.556960805396e-12      -8.496175999716e-15 
   52       1.972676282865e-10       1.812604862577e-14       2.329955664232e-14       0.000000000000e+00       4.839724872036e-11       5.348842255920e-12      -8.423547485754e-15 
   53       2.000535387593e-10       1.924761803110e-14      -5.494303246874e-15       0.000000000000e+00       4.640344395544e-11       5.151000887226e-12      -8.528822750929e-15 
