# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 5.37537 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048916172661e-05       4.790309362803e+01 
       2.342162296470e-05       1.039895831804e+02 
       3.639992052866e-05       1.591271552239e+02 
       4.945925411190e-05       2.138979085837e+02 
       6.263541017611e-05       2.686356067866e+02 
       7.596508359641e-05       3.235919476688e+02 
       8.948620966912e-05       3.789832281879e+02 
       1.032383109306e-04       4.350094666885e+02 
       1.172628632694e-04       4.918642677992e+02 
       1.316036858474e-04       5.497408040037e+02 
       1.463073593513e-04       6.088360054309e+02 
       1.614236770295e-04       6.693538356234e+02 
       1.770061327807e-04       7.315081094851e+02 
       1.931124501680e-04       7.955250788321e+02 
       2.098051555374e-04       8.616459251539e+02 
       2.271521972840e-04       9.301292262778e+02 
       2.452276115523e-04       1.001253438649e+03 
       2.641122320524e-04       1.075319405230e+03 
       2.838944379334e-04       1.152652865856e+03 
       3.046709284294e-04       1.233606930020e+03 
       3.265475058943e-04       1.318564429305e+03 
       3.496398394377e-04       1.407940031199e+03 
       3.740741692907e-04       1.502181945161e+03 
       3.999878970103e-04       1.601772997689e+03 
       4.275299887290e-04       1.707230787055e+03 
       4.568610984897e-04       1.819106543584e+03 
       4.881532977698e-04       1.937982293198e+03 
       5.215892783753e-04       2.064465805544e+03 
       5.573608834203e-04       2.199182866467e+03 
       5.956668213682e-04       2.342766344203e+03 
       6.367094388923e-04       2.495841795755e+03 
       6.806904778284e-04       2.659009371349e+03 
       7.278058260641e-04       2.832822392836e+03 
       7.782393928796e-04       3.017763177062e+03 
       8.321563878061e-04       3.214217582631e+03 
       8.896964380686e-04       3.422449912782e+03 
       9.509671108397e-04       3.642580651083e+03 
       1.016038474326e-03       3.874569389989e+03 
       1.084939302713e-03       4.118204880167e+03 
       1.157655389675e-03       4.373104503868e+03 
       1.234130198273e-03       4.638723017817e+03 
       1.314267786071e-03       4.914370207656e+03 
       1.397937665411e-03       5.199235716657e+03 
       1.484981049727e-03       5.492418634387e+03 
       1.575217835399e-03       5.792958468047e+03 
       1.668453681019e-03       6.099865077191e+03 
       1.764486649387e-03       6.412146641127e+03 
       1.863113033246e-03       6.728831746705e+03 
       1.964132153200e-03       7.048988010280e+03 
       2.067350064454e-03       7.371735493171e+03 
       2.172582220930e-03       7.696255340521e+03 
       2.279655216564e-03       8.021795834855e+03 
       2.388407758658e-03       8.347672472962e+03 
       2.498691035903e-03       8.673268213224e+03 
       2.610368633361e-03       8.998031901468e+03 
       2.723316126733e-03       9.321473000202e+03 
       2.837420464434e-03       9.643157613641e+03 
       2.952579222505e-03       9.962705656403e+03 
       3.068699796223e-03       1.027978426723e+04 
       3.185698574491e-03       1.059410186708e+04 
       3.303500128815e-03       1.090540693335e+04 
       3.422036437687e-03       1.121348362140e+04 
       3.541246158950e-03       1.151814383552e+04 
       3.661073956789e-03       1.181922818810e+04 
       3.781469885822e-03       1.211660218195e+04 
       3.902388831941e-03       1.241015210034e+04 
       4.023790007740e-03       1.269978355773e+04 
       4.145636499281e-03       1.298541818534e+04 
       4.267894860346e-03       1.326699402324e+04 
       4.390534750095e-03       1.354445925184e+04 
       4.513528610061e-03       1.381777708809e+04 
       4.636851376522e-03       1.408691664063e+04 
       4.760480224562e-03       1.435185718491e+04 
       4.884394340386e-03       1.461258218888e+04 
       5.008574718768e-03       1.486909590633e+04 
       5.133003982799e-03       1.512140302850e+04 
       5.257666223409e-03       1.536950210503e+04 
       5.382546856393e-03       1.561340239190e+04 
       5.507632494930e-03       1.585311723417e+04 
       5.632910835811e-03       1.608866082756e+04 
       5.758370557809e-03       1.632005792761e+04 
       5.884001230780e-03       1.654732538266e+04 
       6.009793234291e-03       1.677049707849e+04 
       6.135737684678e-03       1.698959389004e+04 
       6.261826369583e-03       1.720464496387e+04 
       6.388051689139e-03       1.741568795666e+04 
       6.514406603055e-03       1.762274441438e+04 
       6.640884582953e-03       1.782585416375e+04 
       6.767479569382e-03       1.802505166823e+04 
       6.894185933003e-03       1.822036918224e+04 
       7.020998439497e-03       1.841184465434e+04 
       7.147912217795e-03       1.859951393747e+04 
       7.274922731286e-03       1.878341173198e+04 
       7.402025751696e-03       1.896357641160e+04 
       7.529217335347e-03       1.914004594031e+04 
       7.656493801577e-03       1.931285741224e+04 
       7.783851713076e-03       1.948204995488e+04 
       7.911287857969e-03       1.964765768602e+04 
       8.038799233464e-03       1.980972527375e+04 
       8.166383030911e-03       1.996828903813e+04 
       8.294036622135e-03       2.012338233984e+04 
       8.421757546929e-03       2.027504801682e+04 
       8.549543501592e-03       2.042332062860e+04 
       8.677392328408e-03       2.056824153463e+04 
       8.805302005993e-03       2.070984624091e+04 
       8.933270640419e-03       2.084817550953e+04 
       9.061296457053e-03       2.098325951728e+04 
       9.189377793038e-03       2.111513856868e+04 
       9.317513090370e-03       2.124385129509e+04 
       9.445700889507e-03       2.136942355055e+04 
       9.573939823481e-03       2.149190076486e+04 
       9.702228612444e-03       2.161132140975e+04 
       9.830566058643e-03       2.172771540355e+04 
