# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 5.37537 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048916172661e-05       4.790274403762e+01 
       2.342162296470e-05       1.039888315805e+02 
       3.639992052866e-05       1.591260248893e+02 
       4.945925411190e-05       2.138964275884e+02 
       6.263541017611e-05       2.686338103028e+02 
       7.596508359641e-05       3.235898793366e+02 
       8.948620966912e-05       3.789809414418e+02 
       1.032383109306e-04       4.350070262750e+02 
       1.172628632694e-04       4.918617515998e+02 
       1.316036858474e-04       5.497383052551e+02 
       1.463073593513e-04       6.088336354389e+02 
       1.614236770295e-04       6.693517270808e+02 
       1.770061327807e-04       7.315064205298e+02 
       1.931124501680e-04       7.955239980119e+02 
       2.098051555374e-04       8.616456775066e+02 
       2.271521972840e-04       9.301300807831e+02 
       2.452276115523e-04       1.001255717376e+03 
       2.641122320524e-04       1.075323494579e+03 
       2.838944379334e-04       1.152659230387e+03 
       3.046709284294e-04       1.233616129487e+03 
       3.265475058943e-04       1.318577139651e+03 
       3.496398394377e-04       1.407957070420e+03 
       3.740741692907e-04       1.502204305178e+03 
       3.999878970103e-04       1.601801883552e+03 
       4.275299887290e-04       1.707267665067e+03 
       4.568610984897e-04       1.819153200154e+03 
       4.881532977698e-04       1.938040906482e+03 
       5.215892783753e-04       2.064539032045e+03 
       5.573608834203e-04       2.199273944828e+03 
       5.956668213682e-04       2.342879218180e+03 
       6.367094388923e-04       2.495981257918e+03 
       6.806904778284e-04       2.659181227973e+03 
       7.278058260641e-04       2.833033649078e+03 
       7.782393928796e-04       3.018022239228e+03 
       8.321563878061e-04       3.214534471821e+03 
       8.896964380686e-04       3.422836480942e+03 
       9.509671108397e-04       3.643050787487e+03 
       1.016038474326e-03       3.875139203573e+03 
       1.084939302713e-03       4.118892841343e+03 
       1.157655389675e-03       4.373931530213e+03 
       1.234130198273e-03       4.639712489725e+03 
       1.314267786071e-03       4.915547904508e+03 
       1.397937665411e-03       5.200629669977e+03 
       1.484981049727e-03       5.494058901224e+03 
       1.575217835399e-03       5.794876834077e+03 
       1.668453681019e-03       6.102094704890e+03 
       1.764486649387e-03       6.414721682830e+03 
       1.863113033246e-03       6.731786942782e+03 
       1.964132153200e-03       7.052358294232e+03 
       2.067350064454e-03       7.375555622465e+03 
       2.172582220930e-03       7.700559568678e+03 
       2.279655216564e-03       8.026617637071e+03 
       2.388407758658e-03       8.353044329928e+03 
       2.498691035903e-03       8.679221457369e+03 
       2.610368633361e-03       9.004596622922e+03 
       2.723316126733e-03       9.328678005783e+03 
       2.837420464434e-03       9.651030431396e+03 
       2.952579222505e-03       9.971272577914e+03 
       3.068699796223e-03       1.028907041368e+04 
       3.185698574491e-03       1.060413126926e+04 
       3.303500128815e-03       1.091620198663e+04 
       3.422036437687e-03       1.122506578184e+04 
       3.541246158950e-03       1.153053403056e+04 
       3.661073956789e-03       1.183244586181e+04 
       3.781469885822e-03       1.213066534658e+04 
       3.902388831941e-03       1.242507739715e+04 
       4.023790007740e-03       1.271558632405e+04 
       4.145636499281e-03       1.300211252066e+04 
       4.267894860346e-03       1.328459285641e+04 
       4.390534750095e-03       1.356297440268e+04 
       4.513528610061e-03       1.383721933478e+04 
       4.636851376522e-03       1.410729577864e+04 
       4.760480224562e-03       1.437318208792e+04 
       4.884394340386e-03       1.463486088857e+04 
       5.008574718768e-03       1.489233565930e+04 
       5.133003982799e-03       1.514561038764e+04 
       5.257666223409e-03       1.539468298103e+04 
       5.382546856393e-03       1.563956212932e+04 
       5.507632494930e-03       1.588026068843e+04 
       5.632910835811e-03       1.611679242564e+04 
       5.758370557809e-03       1.634918174442e+04 
       5.884001230780e-03       1.657744517943e+04 
       6.009793234291e-03       1.680161637706e+04 
       6.135737684678e-03       1.702171598563e+04 
       6.261826369583e-03       1.723777296549e+04 
       6.388051689139e-03       1.744982481965e+04 
       6.514406603055e-03       1.765789291559e+04 
       6.640884582953e-03       1.786201693541e+04 
       6.767479569382e-03       1.806223117851e+04 
       6.894185933003e-03       1.825856771601e+04 
       7.020998439497e-03       1.845106430676e+04 
       7.147912217795e-03       1.863975659024e+04 
       7.274922731286e-03       1.882467903114e+04 
       7.402025751696e-03       1.900586975827e+04 
       7.529217335347e-03       1.918336647645e+04 
       7.656493801577e-03       1.935720601022e+04 
       7.783851713076e-03       1.952742721893e+04 
       7.911287857969e-03       1.969406394231e+04 
       8.038799233464e-03       1.985716060410e+04 
       8.166383030911e-03       2.001675327381e+04 
       8.294036622135e-03       2.017287507119e+04 
       8.421757546929e-03       2.032556863631e+04 
       8.549543501592e-03       2.047486833197e+04 
       8.677392328408e-03       2.062081535927e+04 
       8.805302005993e-03       2.076344507069e+04 
       8.933270640419e-03       2.090279810502e+04 
       9.061296457053e-03       2.103890449997e+04 
       9.189377793038e-03       2.117180445406e+04 
       9.317513090370e-03       2.130153648894e+04 
       9.445700889507e-03       2.142812630804e+04 
       9.573939823481e-03       2.155161923064e+04 
       9.702228612444e-03       2.167205358034e+04 
       9.830566058643e-03       2.178945907823e+04 
       9.958951041762e-03       2.190386050862e+04 
       1.008738251461e-02       2.201530526707e+04 
       1.021585949915e-02       2.212382508995e+04 
       1.034438108276e-02       2.222944398180e+04 
       1.047294641485e-02       2.233220485565e+04 
       1.060155470365e-02       2.243213491049e+04 
       1.073020521327e-02       2.252927388133e+04 
       1.085889726097e-02       2.262365088892e+04 
       1.098763021458e-02       2.271529331051e+04 
       1.111640349018e-02       2.280423893267e+04 
       1.124521654986e-02       2.289051395476e+04 
       1.137406889969e-02       2.297415378471e+04 
       1.150296008783e-02       2.305518412443e+04 
       1.163188970273e-02       2.313365583089e+04 
       1.176085737154e-02       2.320956504694e+04 
       1.188986275850e-02       2.328297159666e+04 
       1.201890556362e-02       2.335388580171e+04 
       1.214798552124e-02       2.342235308448e+04 
       1.227710239891e-02       2.348838904053e+04 
       1.240625599617e-02       2.355204434737e+04 
       1.253544614350e-02       2.361332292075e+04 
       1.266467270138e-02       2.367227719401e+04 
       1.279393555933e-02       2.372892563643e+04 
       1.292323463506e-02       2.378328180134e+04 
       1.305256987372e-02       2.383540081295e+04 
       1.318194124712e-02       2.388529955717e+04 
       1.331134875313e-02       2.393300074275e+04 
       1.344079241497e-02       2.397853470429e+04 
       1.357027228074e-02       2.402193409093e+04 
       1.369978842280e-02       2.406320864932e+04 
       1.382934093736e-02       2.410239931573e+04 
       1.395892994401e-02       2.413953735363e+04 
       1.408855558531e-02       2.417464160558e+04 
       1.421821802647e-02       2.420772740356e+04 
       1.434791745497e-02       2.423883757644e+04 
       1.447765408030e-02       2.426798116940e+04 
       1.460742813370e-02       2.429520087200e+04 
       1.473723986792e-02       2.432050922719e+04 
       1.486708955701e-02       2.434393262399e+04 
       1.499697749616e-02       2.436550441692e+04 
       1.512690400154e-02       2.438523435212e+04 
       1.525686941022e-02       2.440315269856e+04 
       1.538687408002e-02       2.441928471003e+04 
       1.551691838946e-02       2.443365092441e+04 
       1.564700273771e-02       2.444627968789e+04 
       1.577712754459e-02       2.445718556494e+04 
       1.590729325052e-02       2.446640144121e+04 
       1.603750031657e-02       2.447394492380e+04 
       1.616774922447e-02       2.447983072597e+04 
       1.629804047669e-02       2.448408916402e+04 
       1.642837459651e-02       2.448674049975e+04 
       1.655875212809e-02       2.448781691988e+04 
       1.668917363663e-02       2.448731817613e+04 
       1.681963970845e-02       2.448528396141e+04 
       1.695015095119e-02       2.448174770631e+04 
       1.708070799392e-02       2.447669590065e+04 
       1.721131148738e-02       2.447017540863e+04 
       1.734196210413e-02       2.446218053808e+04 
       1.747266053882e-02       2.445276464397e+04 
       1.760340750837e-02       2.444193831876e+04 
       1.773420375228e-02       2.442970788756e+04 
       1.786505003285e-02       2.441610645077e+04 
       1.799594713549e-02       2.440115121154e+04 
       1.812689586900e-02       2.438487189970e+04 
       1.825789706593e-02       2.436725443425e+04 
       1.838895158288e-02       2.434834125593e+04 
       1.852006030084e-02       2.432817035514e+04 
       1.865122412560e-02       2.430672886571e+04 
       1.878244398812e-02       2.428407532900e+04 
       1.891372084491e-02       2.426015116133e+04 
       1.904505567847e-02       2.423507469476e+04 
       1.917644949775e-02       2.420879676629e+04 
       1.930790333854e-02       2.418134102223e+04 
       1.943941826401e-02       2.415278239139e+04 
       1.957099536516e-02       2.412306925817e+04 
       1.970263576135e-02       2.409224117570e+04 
       1.983434060082e-02       2.406032333454e+04 
       1.996611106124e-02       2.402734323213e+04 
       2.009794835025e-02       2.399331231568e+04 
       2.022985370611e-02       2.395824922589e+04 
       2.036182839823e-02       2.392216663590e+04 
       2.049387372785e-02       2.388504498545e+04 
       2.062599102867e-02       2.384697788191e+04 
       2.075818166752e-02       2.380792928618e+04 
       2.089044704505e-02       2.376791551928e+04 
       2.102278859644e-02       2.372697918689e+04 
       2.115520779216e-02       2.368515945823e+04 
       2.128770613869e-02       2.364235366886e+04 
       2.142028517935e-02       2.359874736482e+04 
       2.155294649507e-02       2.355424381247e+04 
       2.168569170526e-02       2.350888098412e+04 
       2.181852246864e-02       2.346274481641e+04 
       2.195144048416e-02       2.341570134760e+04 
       2.208444749190e-02       2.336791124654e+04 
       2.221754527401e-02       2.331929923116e+04 
       2.235073565571e-02       2.326992157442e+04 
       2.248402050625e-02       2.321977052250e+04 
       2.261740174001e-02       2.316892073651e+04 
       2.275088131753e-02       2.311730248096e+04 
       2.288446124660e-02       2.306499734698e+04 
       2.301814358343e-02       2.301203226467e+04 
       2.315193043382e-02       2.295834525888e+04 
       2.328582395435e-02       2.290398967922e+04 
       2.341982635364e-02       2.284898208914e+04 
       2.355393989365e-02       2.279326920268e+04 
       2.368816689097e-02       2.273705299069e+04 
       2.382250971825e-02       2.268014654470e+04 
       2.395697080554e-02       2.262269333019e+04 
       2.409155264182e-02       2.256461168595e+04 
       2.422625777645e-02       2.250599207341e+04 
       2.436108882077e-02       2.244680954577e+04 
       2.449604844966e-02       2.238704799942e+04 
       2.463113940323e-02       2.232675097507e+04 
       2.476636448851e-02       2.226594938170e+04 
       2.490172658121e-02       2.220469968650e+04 
       2.503722862758e-02       2.214287286374e+04 
       2.517287364624e-02       2.208062542171e+04 
       2.530866473017e-02       2.201787420927e+04 
       2.544460504870e-02       2.195471748773e+04 
       2.558069784959e-02       2.189107561279e+04 
       2.571694646117e-02       2.182694864415e+04 
       2.585335429456e-02       2.176246126838e+04 
       2.598992484600e-02       2.169754536873e+04 
       2.612666169917e-02       2.163225904105e+04 
       2.626356852769e-02       2.156645052717e+04 
       2.640064909762e-02       2.150049851750e+04 
       2.653790727013e-02       2.143406891822e+04 
       2.667534700419e-02       2.136730236800e+04 
       2.681297235941e-02       2.130013451959e+04 
       2.695078749893e-02       2.123267188301e+04 
       2.708879669248e-02       2.116488540808e+04 
       2.722700431946e-02       2.109681530784e+04 
       2.736541487222e-02       2.102839387557e+04 
       2.750403295942e-02       2.095970208653e+04 
       2.764286330949e-02       2.089072835777e+04 
